id,event_id,player1_id,player2_id,player3_id,player4_id,strokes,to_par,placement,notes,disqualified
13,1,19,7,,,71,-1,2,,f
14,1,12,4,,,79,7,9,,f
15,1,11,3,,,71,-1,3,,f
16,1,10,2,,,75,3,7,,f
17,1,20,16,,,81,9,10,,f
18,1,23,8,,,77,5,7,,f
19,1,21,15,,,72,0,3,,f
20,1,9,24,,,72,0,3,,f
21,1,14,17,,,74,2,6,,f
22,1,18,1,,,80,8,10,,f
23,1,5,22,,,68,-4,1,,f
29,1,6,13,,,,,12,,t
63,7,12,3,,,81,10,5,,f
64,7,2,7,,,75,4,2,,f
65,7,11,154,,,68,-3,1,,f
68,7,10,19,,,86,15,9,,f
70,7,15,153,,,82,11,8,,f
71,7,17,11,,,77,6,4,,f
76,7,4,150,,,89,18,10,,f
80,7,160,14,,,81,10,5,,f
81,7,146,18,,,74,3,2,,f
82,7,164,165,,,81,10,5,,f
83,11,4,3,,,83,11,9,,f
87,11,1,19,,,77,5,6,,f
89,11,154,2,,,67,-5,1,,f
99,11,17,24,,,79,7,6,,f
109,11,18,205,,,77,5,5,,f
110,11,146,210,,,74,2,3,,f
111,11,21,191,,,79,7,8,,f
112,11,6,195,,,73,1,2,,f
113,11,10,201,,,74,2,3,,f
114,11,199,177,,,85,13,10,,f
